RL,Vin,Iin,Pin,Vout,Iout,Pout,Eff,Is1,Is2,Is3,Is4,Is5,Is6,Is7,Is8
15.0,402,21.2944608369488,8560.37325645342,200.18808858886,13.3458725725908,2671.68472085744,0.312099092039396,16.2496012168843,16.2482452456038,16.2482452476199,16.2496012190069,47.9873033111759,47.9783303556271,47.978330355193,47.987303310666
16.07,402,21.6193619570531,8690.98350673536,204.86808064796,12.7473699023091,2611.52920519563,0.300487189185406,16.4649755988059,16.4634247066943,16.4634247087685,16.4649756012775,48.7742488087176,48.7649413263251,48.7649413258927,48.7742488082155
17.14,402,21.9244336192489,8813.62231493807,209.203897177593,12.203530159868,2553.02606876868,0.28966819515758,16.6684653938557,16.6667978531972,16.6667978554866,16.6684653962729,49.512232025372,49.502600160949,49.5026001605083,49.5122320249223
18.21,402,22.1998490953055,8924.3393363128,213.061763701193,11.6974994208504,2492.28985750006,0.279268835885591,16.8524989807479,16.8507164232412,16.8507164254574,16.8524989834015,50.1778685815721,50.1680024669395,50.168002466485,50.1778685811351
19.29,402,22.4525046172238,9025.90685612396,216.634824295054,11.2329251359848,2433.44276315356,0.26960645638643,17.0212473357368,17.0192449718078,17.0192449740093,17.0212473377878,50.7884087368102,50.7782854398093,50.7782854393694,50.7884087363511
20.36,402,22.6860120743469,9119.77685388744,219.876961161456,10.800996269678,2374.89023729303,0.260411002960089,17.1779214555554,17.1759015376722,17.1759015398781,17.177921457458,51.3520688144381,51.3416232736225,51.3416232731905,51.3520688139818
21.43,402,22.9005928313356,9206.0383181969,222.902963944025,10.4021244478893,2318.66437074913,0.251863428176916,17.3219450905111,17.3196997755699,17.3196997775149,17.3219450925358,51.8699374773702,51.8593932514862,51.8593932510461,51.8699374769684
22.5,402,23.1039548076926,9287.78983269244,225.712081394933,10.0316480619968,2264.26416389474,0.243789341133094,17.4588357910097,17.4564986422497,17.4564986445867,17.4588357929641,52.3606174527579,52.3497819600454,52.349781959587,52.3606174523138
23.57,402,23.2948172803567,9364.51654670341,228.310494202394,9.68591149453976,2211.39524011902,0.236146225925299,17.5876756704866,17.5853298040136,17.5853298061392,17.5876756725865,52.8206613435636,52.8095389284124,52.8095389279711,52.820661343115
24.64,402,23.4713461594822,9435.48115611184,230.742452456672,9.36344555456821,2160.54439070559,0.228980838916317,17.7073189012852,17.7048899470241,17.7048899491621,17.7073189034906,53.2459354837736,53.2347249916436,53.2347249911659,53.2459354833401
